ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
5897920,HN692163,11/06/2007 01:30:00 PM,027XX W BALMORAL AVE,1680,GAMBLING,OTHER,STREET,true,false,2011,020,40,4,19,1157042,1935752,2007,04/15/2016 08:55:02 AM,41.979476198,-87.697836551,"(41.979476198, -87.697836551)"
5897990,HN687436,11/03/2007 05:34:00 PM,062XX S KENWOOD AVE,1661,GAMBLING,GAME/DICE,PARKING LOT/GARAGE(NON.RESID.),true,false,0314,003,20,42,19,1186144,1863990,2007,04/15/2016 08:55:02 AM,41.781916378,-87.593089141,"(41.781916378, -87.593089141)"
5898047,HN694212,11/07/2007 02:40:00 PM,066XX S CHAMPLAIN AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,0321,003,20,42,19,1181709,1861100,2007,04/15/2016 08:55:02 AM,41.774089562,-87.609437992,"(41.774089562, -87.609437992)"
5899010,HN660282,10/20/2007 09:20:00 PM,018XX S TROY ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1022,010,24,29,19,1155651,1890800,2007,04/15/2016 08:55:02 AM,41.856152445,-87.704164902,"(41.856152445, -87.704164902)"
5900070,HN671530,10/26/2007 05:20:00 PM,018XX S HAMLIN AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1014,010,24,29,19,1151344,1890796,2007,04/15/2016 08:55:02 AM,41.856226984,-87.719973996,"(41.856226984, -87.719973996)"
5900398,HN675698,10/28/2007 09:45:00 PM,038XX W ROOSEVELT RD,1611,GAMBLING,BOOKMAKING/SPORTS,SIDEWALK,true,false,1011,010,24,29,19,1151056,1894439,2007,04/15/2016 08:55:02 AM,41.866229446,-87.720935733,"(41.866229446, -87.720935733)"
5900752,HN670743,10/26/2007 09:45:00 AM,025XX W DIVISION ST,1670,GAMBLING,GAME/AMUSEMENT DEVICE,TAVERN/LIQUOR STORE,true,false,1312,012,26,24,19,1159033,1907888,2007,04/15/2016 08:55:02 AM,41.902974842,-87.691281983,"(41.902974842, -87.691281983)"
5902591,HN699690,11/10/2007 01:41:10 PM,050XX W HURON ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1532,015,28,25,19,1142731,1904178,2007,04/15/2016 08:55:02 AM,41.893113371,-87.751255395,"(41.893113371, -87.751255395)"
5902812,HN676531,10/29/2007 12:40:00 PM,021XX S MILLARD AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1014,010,24,29,19,1152368,1889533,2007,04/15/2016 08:55:02 AM,41.852741028,-87.71624868,"(41.852741028, -87.71624868)"
5903442,HN689382,11/04/2007 08:45:00 PM,080XX S MARYLAND AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,0631,006,8,44,19,1183296,1851948,2007,04/15/2016 08:55:02 AM,41.748938757,-87.603904902,"(41.748938757, -87.603904902)"
5903864,HN700194,11/10/2007 07:00:00 PM,043XX W GLADYS AVE,1661,GAMBLING,GAME/DICE,RESIDENCE,true,false,1131,011,24,26,19,1147444,1898000,2007,04/15/2016 08:55:02 AM,41.876071198,-87.73410456,"(41.876071198, -87.73410456)"
5904253,HN701631,11/11/2007 03:30:00 PM,008XX N HOMAN AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1121,011,27,23,19,1153553,1905544,2007,04/15/2016 08:55:02 AM,41.896653468,-87.711473571,"(41.896653468, -87.711473571)"
5904260,HN658515,10/19/2007 10:30:00 PM,019XX S SPAULDING AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1022,010,24,29,19,1154671,1890268,2007,04/15/2016 08:55:02 AM,41.854712226,-87.707776245,"(41.854712226, -87.707776245)"
5904520,HN694783,11/07/2007 07:18:35 PM,005XX E BROWNING AVE,1661,GAMBLING,GAME/DICE,CHA PARKING LOT/GROUNDS,true,false,0212,002,4,35,19,1180760,1881423,2007,04/15/2016 08:55:02 AM,41.829879483,-87.612291851,"(41.829879483, -87.612291851)"
5904636,HN696787,11/08/2007 10:10:00 PM,070XX S CHAPPEL AVE,1661,GAMBLING,GAME/DICE,RESIDENCE PORCH/HALLWAY,true,false,0331,003,5,43,19,1191100,1858538,2007,04/15/2016 08:55:02 AM,41.766837163,-87.575095717,"(41.766837163, -87.575095717)"
